Generic name,Brand name,FDA Approval,Drug Class,Target,Mechanism,Indication Approved,Current Clinical Trials
Atezolizumab,Tecentriq,2016,Anti PD-L1 mAb,PD-L1,immune checkpoint inhibitors,PD-L1 positive mBladder cancer; PD-L1 positive NSCLC; SCLC; HCC; melanoma,1L maintenance ES-SCLC plus lurbinectedin; NSCLC periadj plus chemotherapy; high-risk NMIBC plus BCG induction and maintenance
Giredestrant,,,selective estrogen receptor degrader (SERD),ER,inhibit and degrade ER,,1L ER+/HER2+ BC plus Phesgo | 1L ER+/HER2- mBC plus palbociclib
RG6810,,,DLL3 ADC,DLL3,target chemotherapy,,SCLC
Codrituzumab,,,mAb,GPC3,target and kill liver cancer cells through ADCC,,HCC
Inavolisib,Itovebi,2024/10,PI3K inhibitors,PIK3CA mut,inhibits PI3K,"HR+, HER2-, PIK3CA mutated mBC",1L HER2+ PIK3CA-mut mBC plus Phesgo or plus palbociclib+fulvestrant; 1L endocrine-sensitive PIK3CA-mut HR+/HER2- advanced BC plus CDK4/6i plus letrozole; post CDKi HR+ PIK3CA-mut BC plus fulvestrant
MINT91,,,,,,,solid tumors
RG6411,,,cMET ADC,cMET,target cMET high cancer cells for chemotherapy,,solid tumors
Polatuzumab vedotin piiq,Polivy,"2019/06, 2023/04",CD79b ADC,CD79b,target CD79b on B cells and deliver chemotherapy,R/R DLBCL,1L DLBCL
Mosunetuzumab,Lunsumio,2022/12,Bispecific T-Cell Engager (BiTE),CD20 x CD3,"engages CD20 on B cells and CD3 on T cells, activates T cells to kill B cells",R/R follicular lymphoma,Heme tumors plus combinations; 2L+ FL plus lenalidomide; 3L+ FL; 2L+ DLBCL plus Polivy; 3L+ FL
Trastuzumab emtansine,Kadcyla,"2013/02, 2019/05",HER2 ADC,HER2,targeted chemotherapy,adj HER2+ BC / mBC,HER2+ eBC high-risk plus Tecentriq
Cevostamab,,,Bispecific T-Cell Engager (BiTE),FcRH5 x CD3,activate and redirect T cells,r/r multiple myeloma,
RG6648 / YL211,,,cMET ADC,cMET,target cMET high cancer cells for chemotherapy,,solid tumors
RG6620 / GDC-7035,,,KRAS G12D inhibitor,KRAS G12D,inhibits KRAS G12D,,Solid tumors with KRAS G12D mutations (NCT06619587)
Clesitamig / ALPS12,,,Trispecific T-Cell Engager (TCE),DLL3/CD3/CD137,guide T cells to target cells,,Solid tumors
Divarasib / GDC-6036 / RG6330,,,KRAS G12C inhibitor,KRAS G12C,inhibits KRAS G12C,,2L NSCLC with KRAS G12C
Giredestrant,,,selective estrogen receptor degrader (SERD),ER,inhibit and degrade ER,,1L ET resistant ER+/HER2- BC plus CDK4/6i; solid tumors; ER+/HER2- BC plus everolimus; adj ER+ BC; endometrial cancer
RG6505,,,PanRAS inhibitor,Ras,inhibits oncogenic RAS mutations,,Solid tumors
Glofitamab,Columvi,2023/06,Bispecific T-Cell Engager (BiTE),CD20 x CD3,"engages CD20 and CD3, activates T cells to kill B cells",DLBCL or LBCL,r/r mantle cell lymphoma; heme tumors plus combinations; 1L DLBCL plus Polivy + R-CHP; 3L+ DLBCL
Mosperafenib,,,BRAF inhibitor,BRAF V600E,inhibit oncogenic BRAF V600E,,BRAF-V600 mutation-positive solid tumors
RG6440 / SOF10,,,mAb,TGF-β1,inhibit TGF signaling,,Solid tumors
RG6561,,,,,,,Solid tumors (NCT06488716)
RG6540,,,P-CD19xCD20 - ALLO1 (CART),CD19 x CD20,CAR T,,Heme tumors
RG6538,,,P-BCMA-ALLO1 (CART),BCMA,CAR T,,r/r multiple myeloma
Alectinib,Alecensa,2024/04,Multikinase inhibitors,ALK,inhibit abnormal ALK protein,adj ALK+ NSCLC,adj ALK+ NSCLC
Paluratide / LUNA18,,,cyclic peptide RAS inhibitor,RAS,inhibits oncogenic RAS mutations,,Solid tumors
RG6596 / ZN-A-1041,,,HER2 TKI,HER2,inhibit HER2,,HER2+ BC
RG6537 / GDC-2992,,,AR degrader,AR,AR degradation,,mCRPC
Autogene cevumeran,,,cancer vaccine,neoantigen,mRNA based personalized cancer vaccine,,Solid tumors
RGT-419B,,,CDK4/2i,CDK4,CDK4 inhibitor with increased activity on CDK2,,HR+ HER2- BC
ROSE12,,,Anti-CTLA-4 Switch antibody,CTLA-4,,,Solid tumors
RG6221,,,LTβR agonist,LTβR,bispecific LTβR agonist activating TME pathway,,Solid tumors
Englumafusp alfa,,,antibody-like fusion protein,CD19 x 4-1BB,co-stimulator of NK/T-cells,,Heme tumors
SAIL66,,,Trispecific T-Cell Engager (TCE),CLDN6 x CD3 x CD137,activates T cells for anti-tumor immunity,,CLDN6+ solid tumors
